id,name,rank,media,episodes,season,members,score
5114,Fullmetal Alchemist: Brotherhood,1,TV,64,Apr2009-Jul2010,1896372,9.22
9253,Steins;Gate,2,TV,24,Apr2011-Sep2011,1540752,9.13
11061,Hunter x Hunter (2011),3,TV,148,Oct2011-Sep2014,1318514,9.12
820,Ginga Eiyuu Densetsu,4,OVA,110,Jan1988-Mar1997,200283,9.11
28977,Gintama°,5,TV,51,Apr2015-Mar2016,338210,9.11
9969,Gintama',6,TV,51,Apr2011-Mar2012,318023,9.09
38524,Shingeki no Kyojin Season 3 Part 2,7,TV,10,Apr2019-Jul2019,697029,9.07
15417,Gintama': Enchousen,8,TV,13,Oct2012-Mar2013,192391,9.04
35180,3-gatsu no Lion 2nd Season,9,TV,22,Oct2017-Mar2018,217536,9.02
32281,Kimi no Na wa.,10,Movie,1,Aug2016-Aug2016,1411235,9.02
28851,Koe no Katachi,11,Movie,1,Sep2016-Sep2016,1082186,9.01
34096,Gintama.,12,TV,12,Jan2017-Mar2017,168187,8.98
4181,Clannad: After Story,13,TV,24,Oct2008-Mar2009,822101,8.97
918,Gintama,14,TV,201,Apr2006-Mar2010,659657,8.97
15335,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,15,Movie,1,Jul2013-Jul2013,151872,8.97
35247,Owarimonogatari 2nd Season,16,TV,7,Aug2017-Aug2017,231801,8.93
2904,Code Geass: Hangyaku no Lelouch R2,17,TV,25,Apr2008-Sep2008,1119135,8.91
32935,Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,18,TV,10,Oct2016-Dec2016,544753,8.91
37510,Mob Psycho 100 II,19,TV,13,Jan2019-Apr2019,635964,8.87
40591,Kaguya-sama wa Kokurasetai?: Tensai-tachi no Renai Zunousen,20,TV,12,Apr2020-Jun2020,411754,8.85
199,Sen to Chihiro no Kamikakushi,21,Movie,1,Jul2001-Jul2001,1071412,8.85
37491,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,22,TV,14,Jul2018-Oct2018,89700,8.84
31758,Kizumonogatari III: Reiketsu-hen,23,Movie,1,Jan2017-Jan2017,263040,8.82
33095,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,24,TV,12,Jan2017-Mar2017,123882,8.8
23273,Shigatsu wa Kimi no Uso,25,TV,22,Oct2014-Mar2015,1197161,8.79
1,Cowboy Bebop,26,TV,26,Apr1998-Apr1999,1073764,8.79
36838,Gintama.: Shirogane no Tamashii-hen,27,TV,12,Jan2018-Mar2018,103186,8.79
28891,Haikyuu!! Second Season,28,TV,25,Oct2015-Mar2016,659126,8.79
34599,Made in Abyss,29,TV,13,Jul2017-Sep2017,720704,8.78
17074,Monogatari Series: Second Season,30,TV,26,Jul2013-Dec2013,451673,8.78
24701,Mushishi Zoku Shou 2nd Season,31,TV,10,Oct2014-Dec2014,177661,8.78
263,Hajime no Ippo,32,TV,75,Oct2000-Mar2002,341328,8.76
164,Mononoke Hime,33,Movie,1,Jul1997-Jul1997,762642,8.74
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,34,OVA,4,Feb1999-Sep1999,214218,8.74
37521,Vinland Saga,35,TV,24,Jul2019-Dec2019,482396,8.73
1575,Code Geass: Hangyaku no Lelouch,36,TV,25,Oct2006-Jul2007,1391017,8.73
19,Monster,37,TV,74,Apr2004-Sep2005,525097,8.73
21939,Mushishi Zoku Shou,38,TV,10,Apr2014-Jun2014,205752,8.73
36862,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,39,Movie,1,Jan2020-Jan2020,147507,8.72
38000,Kimetsu no Yaiba,40,TV,26,Apr2019-Sep2019,977195,8.71
245,Great Teacher Onizuka,41,TV,43,Jun1999-Sep2000,518197,8.7
457,Mushishi,42,TV,26,Oct2005-Jun2006,557874,8.7
38329,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,43,Movie,1,Jun2019-Jun2019,229931,8.69
2001,Tengen Toppa Gurren Lagann,44,TV,27,Apr2007-Sep2007,1093900,8.68
5258,Hajime no Ippo: New Challenger,45,TV,26,Jan2009-Jul2009,182054,8.68
431,Howl no Ugoku Shiro,46,Movie,1,Nov2004-Nov2004,721470,8.68
11665,Natsume Yuujinchou Shi,47,TV,13,Jan2012-Mar2012,177094,8.68
12355,Ookami Kodomo no Ame to Yuki,48,Movie,1,Jul2012-Jul2012,544964,8.67
7311,Suzumiya Haruhi no Shoushitsu,49,Movie,1,Feb2010-Feb2010,444581,8.67
37779,Yakusoku no Neverland,50,TV,12,Jan2019-Mar2019,749628,8.66
2921,Ashita no Joe 2,51,TV,47,Oct1980-Aug1981,25284,8.66
34591,Natsume Yuujinchou Roku,52,TV,11,Apr2017-Jun2017,119833,8.66
37991,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,53,TV,39,Oct2018-Jul2019,394679,8.65
28957,Mushishi Zoku Shou: Suzu no Shizuku,54,Movie,1,May2015-May2015,86737,8.64
1535,Death Note,55,TV,37,Oct2006-Jun2007,2175960,8.63
31757,Kizumonogatari II: Nekketsu-hen,56,Movie,1,Aug2016-Aug2016,260536,8.63
22135,Ping Pong the Animation,57,TV,11,Apr2014-Jun2014,229762,8.63
30276,One Punch Man,58,TV,12,Oct2015-Dec2015,1774770,8.62
33352,Violet Evergarden,59,TV,13,Jan2018-Apr2018,822500,8.62
33049,Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,60,Movie,1,Jan2019-Jan2019,152857,8.62
12365,Bakuman. 3rd Season,61,TV,25,Oct2012-Mar2013,247801,8.61
11741,Fate/Zero 2nd Season,62,TV,12,Apr2012-Jun2012,717961,8.61
19647,Hajime no Ippo: Rising,63,TV,25,Oct2013-Mar2014,156362,8.61
10379,Natsume Yuujinchou San,64,TV,13,Jul2011-Sep2011,184531,8.61
28735,Shouwa Genroku Rakugo Shinjuu,65,TV,13,Jan2016-Apr2016,202917,8.61
7785,Yojouhan Shinwa Taikei,66,TV,11,Apr2010-Jul2010,271661,8.61
32983,Natsume Yuujinchou Go,67,TV,11,Oct2016-Dec2016,121694,8.6
36098,Kimi no Suizou wo Tabetai,68,Movie,1,Sep2018-Sep2018,291473,8.59
21329,Mushishi: Hihamukage,69,Special,1,Jan2014-Jan2014,95646,8.59
35839,Sora yori mo Tooi Basho,70,TV,13,Jan2018-Mar2018,290866,8.59
4565,Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,71,Movie,1,Apr2009-Apr2009,156037,8.58
5300,Zoku Natsume Yuujinchou,72,TV,13,Jan2009-Mar2009,186773,8.58
20583,Haikyuu!!,73,TV,25,Apr2014-Sep2014,903567,8.58
4282,Kara no Kyoukai 5: Mujun Rasen,74,Movie,1,Aug2008-Aug2008,176020,8.57
38040,Kono Subarashii Sekai ni Shukufuku wo!: Kurenai Densetsu,75,Movie,1,Aug2019-Aug2019,287536,8.57
30654,Ansatsu Kyoushitsu 2nd Season,76,TV,25,Jan2016-Jul2016,724727,8.56
3297,Aria the Origination,77,TV,13,Jan2008-Apr2008,91621,8.56
37379,Chihayafuru 3,78,TV,24,Oct2019-Mar2020,71606,8.56
801,Koukaku Kidoutai: Stand Alone Complex 2nd GIG,79,TV,26,Jan2004-Jan2005,182594,8.55
31933,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,80,TV,39,Apr2016-Dec2016,486195,8.54
35843,Gintama.: Porori-hen,81,TV,13,Oct2017-Dec2017,105734,8.53
6114,Rainbow: Nisha Rokubou no Shichinin,82,TV,26,Apr2010-Sep2010,274880,8.53
170,Slam Dunk,83,TV,101,Oct1993-Mar1996,174668,8.53
12431,Uchuu Kyoudai,84,TV,99,Apr2012-Mar2014,136480,8.53
